Algorithm	Tri_Accuracy	Com_Accuracy	Psd_Accuracy	Mean_Ref_Accuracy	Noise_Level	MCC_Config				Mean_Tri_Accuracy	SD_Tri_Accuracy	Mean_Com_Accuracy	SD_Com_Accuracy	Mean_Psd_Accuracy	SD_Psd_Accuracy	Noise_Level	MCC_Config
LR	70	66.5	71.7	69.4	-5	8				74	6.08276253029822	68.2	3.56791255498225	75.8333333333333	7.07271753524297	-5	8
LR	98.2	95.3	96.7	96.7333333333333	-5	16				98.8666666666667	0.986576572463247	97.5	2.36431808350738	98.4333333333333	1.58219257150744	-5	16
LR	91	81.2	70.8	81	-5	24				94.4333333333333	4.05010287935175	84.6	6.23858958419289	72.4333333333333	3.45301800362138	-5	24
LR	93	84.2	69.4	82.2	-5	32				95.6666666666667	3.78593889720018	88.7666666666667	7.73713986776337	71.5333333333333	3.18956632370818	-5	32
LR	94.6	86.7	72.8	84.7	-5	40				96.6	2.95972971738975	91.3333333333333	6.76781599434657	73.5666666666667	1.50443787951957	-5	40
RF	81	72.3	84	79.1	-5	8				59.4333333333333	3.60878557597059	49.1333333333333	3.17700068198503	60.4	0.754983443527075	-10	8
RF	100	100	99.8	99.9333333333333	-5	16				95.9666666666667	3.3291640592397	87.1333333333333	6.8156682235371	80.9333333333333	2.85715476187996	-10	16
RF	98.9	91.8	76.4	89.0333333333333	-5	24				75.2333333333333	4.21939964133919	67.1	1.60934769394311	63.2666666666667	0.115470053837923	-10	24
RF	100	97.7	75.2	90.9666666666667	-5	32				79.7666666666667	8.86359595950387	69.1	0.655743852430199	62.0333333333333	0.929157324317755	-10	32
RF	100	99.1	75.3	91.4666666666667	-5	40				85.9333333333333	9.93042463006157	71.2	2.86181760425083	62.1333333333333	0.602771377334172	-10	40
SVM	71	65.8	71.8	69.5333333333333	-5	8				42.7666666666667	1.76162803489651	36.9333333333333	2.58134331953991	41.6	3.11929479209645	-15	8
SVM	98.4	97.2	98.8	98.1333333333333	-5	16				73.6666666666667	1.33166562369588	57.6	9.7923439482077	55.6333333333333	9.46907246425611	-15	16
SVM	93.4	80.8	70.1	81.4333333333333	-5	24				56.8	0.264575131106459	45.2	1.21655250605965	40.3	0.400000000000002	-15	24
SVM	94	84.4	70	82.8	-5	32				58.3666666666667	2.38607068908977	48.1666666666667	3.0171730698343	40.5	0.692820323027548	-15	32
SVM	95.2	88.2	72.6	85.3333333333333	-5	40				64.2	3.21869538788621	53.8666666666667	1.98578280114753	43.9	0.608276253029822	-15	40
LR	57.3	47.2	60.5	55	-10	8				34.7	0.781024967590666	33.8333333333333	0.723417813807023	34.6333333333333	0.635085296108589	-20	8
LR	93.8	83	78.9	85.2333333333333	-10	16				48.3333333333333	8.25671443937196	38.1	10.4847508315649	37.1333333333333	10.0748862690024	-20	16
LR	73	66.6	63.4	67.6666666666667	-10	24				39.5666666666667	2.21885856541901	35.7	0.519615242270662	31.6666666666667	0.702376916856848	-20	24
LR	74.5	69.8	62.3	68.8666666666667	-10	32				39.7666666666667	0.665832811847941	34.5	1.15325625946708	33.4666666666667	1.01159939369957	-20	32
LR	80.2	69.4	62.2	70.6	-10	40				42	1.38924439894498	37.1666666666667	1.15036226178249	34.5	0.781024967590664	-20	40
RF	63.6	52.8	61.1	59.1666666666667	-10	8											
RF	99.8	95	84.2	93	-10	16											
RF	80.1	68.9	63.2	70.7333333333333	-10	24											
RF	90	69	62.8	73.9333333333333	-10	32											
RF	97.4	74.5	62.7	78.2	-10	40											
SVM	57.4	47.4	59.6	54.8	-10	8											
SVM	94.3	83.4	79.7	85.8	-10	16											
SVM	72.6	65.8	63.2	67.2	-10	24											
SVM	74.8	68.5	61	68.1	-10	32											
SVM	80.2	69.7	61.5	70.4666666666667	-10	40											
LR	41.7	35.7	39.7	39.0333333333333	-15	8											
LR	73	63.6	61.2	65.9333333333333	-15	16											
LR	56.7	45.8	39.9	47.4666666666667	-15	24											
LR	57.3	50.2	40.1	49.2	-15	32											
LR	63.8	55.3	43.5	54.2	-15	40											
RF	44.8	39.9	45.2	43.3	-15	8											
RF	75.2	46.3	44.7	55.4	-15	16											
RF	57.1	43.8	40.7	47.2	-15	24											
RF	61.1	44.7	40.1	48.6333333333333	-15	32											
RF	67.6	51.6	43.6	54.2666666666667	-15	40											
SVM	41.8	35.2	39.9	38.9666666666667	-15	8											
SVM	72.8	62.9	61	65.5666666666667	-15	16											
SVM	56.6	46	40.3	47.6333333333333	-15	24											
SVM	56.7	49.6	41.3	49.2	-15	32											
SVM	61.2	54.7	44.6	53.5	-15	40											
LR	34.2	34.3	35	34.5	-20	8											
LR	53.2	44.5	43	46.9	-20	16											
LR	40.2	36.3	31	35.8333333333333	-20	24											
LR	40.1	35.7	34	36.6	-20	32											
LR	42.7	37.2	34	37.9666666666667	-20	40											
RF	35.6	34.2	33.9	34.5666666666667	-20	8											
RF	38.8	26	25.5	30.1	-20	16											
RF	37.1	35.4	32.4	34.9666666666667	-20	24											
RF	39	34.4	32.3	35.2333333333333	-20	32											
RF	40.4	36	34.1	36.8333333333333	-20	40											
SVM	34.3	33	35	34.1	-20	8											
SVM	53	43.8	42.9	46.5666666666667	-20	16											
SVM	41.4	35.4	31.6	36.1333333333333	-20	24											
SVM	40.2	33.4	34.1	35.9	-20	32											
SVM	42.9	38.3	35.4	38.8666666666667	-20	40											
